HEARING	SPEAKER	MAIN SPEAKER	ROLE	TEXT
2019-11-20	Adam Schiff	D-Schiff	Democrat	your interest in being here. In turn, we ask for your respect as we proceed with today’s hearing. It is the intention of the committee to proceed without disruptions. As Chairman, I’ll make all necessary and appropriate steps to maintain order and to ensure the committee is run in accordance with house rules, and House Resolution 660. With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States.
2019-11-20	Adam Schiff	D-Schiff	Democrat	This morning we will hear from Gordon Sondland, the American Ambassador to the European Union. We are here today as part of the House of Representatives impeachment inquiry, because president Donald Trump sought to condition military aid to Ukraine in an Oval Office meeting with the new Ukrainian president, Volodymyr Zelensky, in exchange for politically motivated investigations that Trump believed would help his reelection campaign.
2019-11-20	Adam Schiff	D-Schiff	Democrat	The first investigation was of a discredited conspiracy theory that Ukraine, not Russia, was responsible for interfering in the 2016 election. Second investigation that Trump demanded was into a political rival that he apparently feared most, Joe Biden. Trump sought to weaken Biden, and to refute the fact that his own election campaign in 2016 had been helped by Russian hacking and dumping operation, and Russian social media campaign directed by Vladimir Putin to help Trump.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Trump’s scheme undermined military and diplomatic support for a key ally, and undercut US anti-corruption efforts in Ukraine. Trump put his personal and political interests above those of the United States. As ambassador Sondland would later tell career foreign service officer David Holmes, immediately after speaking to the President, “Trump did not give a expletive about Ukraine. He cares about big stuff that benefits him, like the Biden investigations that Rudy Giuliani was pushing.”
2019-11-20	Adam Schiff	D-Schiff	Democrat	Ambassador Sondland was a skilled deal maker, but in trying to satisfy a directive from the President found himself increasingly embroiled in an effort to press the new Ukrainian president, that deviated sharply from the norm in both terms of policy and process. In February, Ambassador Sondland traveled to Ukraine on his first official trip to that country. While in Kiev, he met with then US Ambassador to Ukraine, Marie Yovanovitch, and found her to be an excellent diplomat with a deep command of Ukrainian internal dynamics.
2019-11-20	Adam Schiff	D-Schiff	Democrat	On April 21st, Zelensky was elected president of Ukraine and spoke to President Trump who congratulated him, and said he would look into attending Zelensky’s inauguration, but pledged to send someone at a very, very high level. Between the time of that call and the inaugural and May 20, Trump’s attitude towards Ukraine hardened.
2019-11-20	Adam Schiff	D-Schiff	Democrat	"On May 13th, the President ordered Vice President Mike Pence, not to attend Zelensky’s inauguration, opting instead to dispatch the self dubbed Three Amigos; Energy Secretary Rick Perry, Ambassador Sondland, and Ambassador Kurt Volker, the special representative for Ukraine negotiations."
2019-11-20	Adam Schiff	D-Schiff	Democrat	After returning from the inauguration, members of the US delegation briefed President Trump on their encouraging first interactions with the new current Ukrainian administration. They urged the President to meet was Zelensky, but the President’s reaction was decidedly hostile. The President’s order was clear, however. Talk with Rudy.
2019-11-20	Adam Schiff	D-Schiff	Democrat	During this meeting, ambassador Sondland first became aware of what Giuliani and the President were really interested in. “This whole thing was sort of a continuum,” he testified at his deposition, “… starting at the May 23rd meeting. Ending up at the end of the line when the transcript of the call came out.” “It was a continuum,” he would explain, “… that became more insidious over time.”
2019-11-20	Adam Schiff	D-Schiff	Democrat	The Three Amigos were disappointed with Trump’s directive to engage Giuliani, but vowed to press ahead. Ambassador Sondland, “We could abandon the goal of a White House meeting for President Zelensky,” which the group teamed crucial for US/Ukrainian relations, “… or we could do as President Trump directed and talk to Mr. Giuliani to address the President’s concerns. We chose the latter path.”
