Year,Job Title,Category,Country,Region,Total,Latitude,Longitude
2015,Software Engineer,Engineering,USA,North America,32,41.67514973847733,-84.18598918550884
2015,Data Scientist,Engineering,USA,North America,33,29.763744070683195,-106.6691831926889
2015,Marketing Manager,Operations,USA,North America,5,41.882659910552334,-110.94157691564803
2015,Financial Analyst,HR,USA,North America,48,43.04670237762892,-118.83413068489237
2015,HR Specialist,Sales,USA,North America,28,25.589290811992935,-104.70934161555765
2015,IT Support,Engineering,USA,North America,71,40.88771972003616,-107.47621813575635
2015,Sales Executive,Marketing,USA,North America,34,39.423768973041405,-77.48008718876156
2015,Operations Manager,Finance,USA,North America,17,40.77602238847303,-102.8022408135287
2015,Legal Consultant,Finance,USA,North America,15,34.66731882052245,-85.59877877692249
2015,Medical Doctor,Legal,USA,North America,61,32.95668499386805,-101.70807398865608
2015,Civil Engineer,Operations,USA,North America,66,46.72168672516936,-99.16893614298941
2015,Product Manager,HR,USA,North America,40,45.57009105917747,-90.20428351885703
2015,UX Designer,Sales,USA,North America,29,33.2590344172375,-96.24369981415072
2015,Cybersecurity Analyst,Legal,USA,North America,6,34.23420372831707,-116.56646799884324
2015,AI Researcher,HR,USA,North America,55,25.213324512535632,-119.71940699383514
2015,Software Engineer,HR,Canada,North America,83,57.4947971330025,-95.29841273088567
2015,Data Scientist,Finance,Canada,North America,42,64.18255335165604,-77.9410669636193
2015,Marketing Manager,Legal,Canada,North America,22,77.04684072583211,-91.70845758145333
2015,Financial Analyst,Engineering,Canada,North America,9,67.47632923136658,-138.10042974957224
2015,HR Specialist,Legal,Canada,North America,86,48.75384091185036,-108.99173231849153
2015,IT Support,Engineering,Canada,North America,99,69.40227484879466,-69.27653071096296
2015,Sales Executive,Marketing,Canada,North America,74,72.63685232594514,-133.4806496211643
2015,Operations Manager,Sales,Canada,North America,34,44.44732103148098,-64.26870425638957
2015,Legal Consultant,Operations,Canada,North America,94,71.00956758261353,-69.37739855647676
2015,Medical Doctor,Engineering,Canada,North America,85,62.16645912473964,-61.02023823239607
2015,Civil Engineer,IT,Canada,North America,5,69.76593949664945,-97.87041890238038
2015,Product Manager,Legal,Canada,North America,85,77.96240141804016,-87.42512166308376
2015,UX Designer,IT,Canada,North America,59,45.9436617383666,-125.66434065339328
2015,Cybersecurity Analyst,Marketing,Canada,North America,40,54.909069220721086,-118.28447575137719
2015,AI Researcher,Sales,Canada,North America,41,59.07745077844084,-86.08156975262689
2015,Software Engineer,Operations,Germany,Europe,37,48.3432622070799,6.075698824305044
2015,Data Scientist,Marketing,Germany,Europe,28,53.48135621034957,14.065997338744127
2015,Marketing Manager,IT,Germany,Europe,48,48.90164705682887,7.982176496418589
2015,Financial Analyst,HR,Germany,Europe,44,51.89704351606335,13.69243438399228
2015,HR Specialist,IT,Germany,Europe,37,54.15725346869755,14.174400957238653
